# ===== Aggregated and Sorted Prefixes =====
# Overall unique blocked IPs -> IPv4: 37,857,536 ; IPv6: 0
# Total output prefixes: 2623
#
38.211.80.0/20  
81.92.200.0/22  
# --- ISP: 16 COLLYER QUAY # 18-29 INCOME AT RAFFLES | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
101.33.12.0/22       # 16 COLLYER QUAY # 18-29 INCOME AT RAFFLES

# --- ISP: 1iT Pty Ltd | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
103.138.86.0/24      # 1iT Pty Ltd

# --- ISP: 365 Group LLC | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
172.93.184.0/24      # 365 Group LLC

# --- ISP: 80VPS | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
104.253.136.0/24     # 80VPS

# --- ISP: 888 Ventures LLC | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
23.137.132.0/24      # 888 Ventures LLC

# --- ISP: Ace Data Centers II, L.L.C. | prefixes: 7 | IPv4 addrs: 1,792 | IPv6 addrs: 0 ---
136.0.16.0/24        # Ace Data Centers II, L.L.C.
136.0.77.0/24        # Ace Data Centers II, L.L.C.
142.111.111.0/24     # Ace Data Centers II, L.L.C.
142.111.152.0/24     # Ace Data Centers II, L.L.C.
166.88.171.0/24      # Ace Data Centers II, L.L.C.
166.88.172.0/24      # Ace Data Centers II, L.L.C.
166.88.178.0/24      # Ace Data Centers II, L.L.C.

# --- ISP: Acme Professional Services LLC | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
23.234.110.0/24      # Acme Professional Services LLC

# --- ISP: AdroitSSD | prefixes: 1 | IPv4 addrs: 512 | IPv6 addrs: 0 ---
103.72.62.0/23       # AdroitSSD

# --- ISP: African Network Information Center | prefixes: 1 | IPv4 addrs: 8,192 | IPv6 addrs: 0 ---
156.248.32.0/19      # African Network Information Center

# --- ISP: African Network Information Center - (AfriNIC) Ltd | prefixes: 5 | IPv4 addrs: 655,360 | IPv6 addrs: 0 ---
154.12.0.0/15        # African Network Information Center - (AfriNIC) Ltd
154.17.0.0/16        # African Network Information Center - (AfriNIC) Ltd
154.18.0.0/15        # African Network Information Center - (AfriNIC) Ltd
154.21.0.0/16        # African Network Information Center - (AfriNIC) Ltd
154.36.0.0/14        # African Network Information Center - (AfriNIC) Ltd

# --- ISP: Aftab | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
23.234.114.0/24      # Aftab

# --- ISP: AGIS | prefixes: 10 | IPv4 addrs: 819,200 | IPv6 addrs: 0 ---
204.157.0.0/16       # AGIS
205.164.128.0/17     # AGIS
205.198.0.0/15       # AGIS
206.42.0.0/16        # AGIS
206.84.0.0/15        # AGIS
206.148.0.0/15       # AGIS
206.185.0.0/16       # AGIS
206.250.0.0/16       # AGIS
207.142.0.0/16       # AGIS
209.14.0.0/16        # AGIS

# --- ISP: AKSHAY BUDUKH AND ASSOCIATES | prefixes: 1 | IPv4 addrs: 512 | IPv6 addrs: 0 ---
103.80.10.0/23       # AKSHAY BUDUKH AND ASSOCIATES

# --- ISP: Alaxona Internet Inc. | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
146.19.90.0/24       # Alaxona Internet Inc.

# --- ISP: Alliance Data Services LLC | prefixes: 1 | IPv4 addrs: 2,048 | IPv6 addrs: 0 ---
38.83.64.0/21        # Alliance Data Services LLC

# --- ISP: alpha dot net, corp | prefixes: 3 | IPv4 addrs: 81,920 | IPv6 addrs: 0 ---
156.46.0.0/16        # alpha dot net, corp
205.254.192.0/19     # alpha dot net, corp
206.190.0.0/19       # alpha dot net, corp

# --- ISP: Alpha online Technology | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
102.212.7.0/24       # Alpha online Technology

# --- ISP: ALTUS COMMUNICATIONS, INC. | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
45.86.24.0/22        # ALTUS COMMUNICATIONS, INC.

# --- ISP: AMERICAN TECHNOLOGY HOLDINGS, INC. | prefixes: 2 | IPv4 addrs: 6,144 | IPv6 addrs: 0 ---
216.24.0.0/20        # AMERICAN TECHNOLOGY HOLDINGS, INC.
216.24.16.0/21       # AMERICAN TECHNOLOGY HOLDINGS, INC.

# --- ISP: Andrey Voskresenskiy | prefixes: 2 | IPv4 addrs: 1,536 | IPv6 addrs: 0 ---
195.216.176.0/23     # Andrey Voskresenskiy
213.182.220.0/22     # Andrey Voskresenskiy

# --- ISP: ANTYXSOFT INFORMATION SYSTEMS PC | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
149.6.212.0/22       # ANTYXSOFT INFORMATION SYSTEMS PC

# --- ISP: APPLIED TECHNOLOGIES INTERNET SAS | prefixes: 1 | IPv4 addrs: 2,048 | IPv6 addrs: 0 ---
45.10.120.0/21       # APPLIED TECHNOLOGIES INTERNET SAS

# --- ISP: AquaNetworks HK Limited | prefixes: 12 | IPv4 addrs: 3,328 | IPv6 addrs: 0 ---
91.198.230.0/24      # AquaNetworks HK Limited
91.199.3.0/24        # AquaNetworks HK Limited
91.240.71.0/24       # AquaNetworks HK Limited
92.119.229.0/24      # AquaNetworks HK Limited
188.119.114.0/23     # AquaNetworks HK Limited
193.33.66.0/24       # AquaNetworks HK Limited
193.37.133.0/24      # AquaNetworks HK Limited
193.109.221.0/24     # AquaNetworks HK Limited
193.176.237.0/24     # AquaNetworks HK Limited
193.193.164.0/24     # AquaNetworks HK Limited
194.56.255.0/24      # AquaNetworks HK Limited
194.107.125.0/24     # AquaNetworks HK Limited

# --- ISP: Aquatis LLC | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
216.146.27.0/24      # Aquatis LLC

# --- ISP: ArtPlanet LLC | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
80.87.207.0/24       # ArtPlanet LLC

# --- ISP: Ashburn, VA | prefixes: 2 | IPv4 addrs: 512 | IPv6 addrs: 0 ---
80.71.154.0/24       # Ashburn, VA
80.71.159.0/24       # Ashburn, VA

# --- ISP: assigned to project reverse pro. id32331 | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
102.215.225.0/24     # assigned to project reverse pro. id32331

# --- ISP: Astrill | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
104.252.90.0/24      # Astrill

# --- ISP: ATL II. IPv4 route | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
185.152.66.0/24      # ATL II. IPv4 route

# --- ISP: ATLAS-NETWORKS-CORPORATION | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
142.214.152.0/22     # ATLAS-NETWORKS-CORPORATION

# --- ISP: ATOMOHOST LLC | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
178.159.100.0/24     # ATOMOHOST LLC

# --- ISP: Atuaxanela S.L | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
149.36.192.0/22      # Atuaxanela S.L

# --- ISP: Avalaa | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
104.253.176.0/24     # Avalaa

# --- ISP: Aventice LLC | prefixes: 33 | IPv4 addrs: 39,936 | IPv6 addrs: 0 ---
45.91.188.0/22       # Aventice LLC
95.214.100.0/22      # Aventice LLC
154.7.238.0/23       # Aventice LLC
154.7.248.0/22       # Aventice LLC
154.13.200.0/22      # Aventice LLC
154.13.212.0/22      # Aventice LLC
154.13.244.0/22      # Aventice LLC
154.13.248.0/22      # Aventice LLC
154.17.120.0/21      # Aventice LLC
154.17.168.0/21      # Aventice LLC
154.17.176.0/22      # Aventice LLC
154.28.84.0/22       # Aventice LLC
154.28.112.0/20      # Aventice LLC
154.28.244.0/22      # Aventice LLC
154.28.252.0/22      # Aventice LLC
154.29.26.0/23       # Aventice LLC
154.29.96.0/21       # Aventice LLC
154.30.68.0/22       # Aventice LLC
154.30.74.0/23       # Aventice LLC
154.30.76.0/22       # Aventice LLC
154.30.88.0/23       # Aventice LLC
154.30.92.0/22       # Aventice LLC
154.36.88.0/22       # Aventice LLC
154.36.106.0/23      # Aventice LLC
154.37.68.0/22       # Aventice LLC
154.37.94.0/23       # Aventice LLC
154.37.112.0/21      # Aventice LLC
185.15.176.0/22      # Aventice LLC
193.36.124.0/22      # Aventice LLC
194.110.88.0/22      # Aventice LLC
206.232.32.0/21      # Aventice LLC
206.232.60.0/22      # Aventice LLC
206.232.88.0/21      # Aventice LLC

# --- ISP: Awesomecloud Limited | prefixes: 4 | IPv4 addrs: 12,288 | IPv6 addrs: 0 ---
38.69.240.0/20       # Awesomecloud Limited
38.79.112.0/21       # Awesomecloud Limited
38.209.64.0/21       # Awesomecloud Limited
38.209.112.0/20      # Awesomecloud Limited

# --- ISP: Azadeh Golestan Parast trading as Virtual Dedicated Datacenter Services FZCO | prefixes: 10 | IPv4 addrs: 10,240 | IPv6 addrs: 0 ---
2.56.16.0/22         # Azadeh Golestan Parast trading as Virtual Dedicated Datacenter Services FZCO
45.85.108.0/22       # Azadeh Golestan Parast trading as Virtual Dedicated Datacenter Services FZCO
45.94.96.0/22        # Azadeh Golestan Parast trading as Virtual Dedicated Datacenter Services FZCO
45.144.24.0/22       # Azadeh Golestan Parast trading as Virtual Dedicated Datacenter Services FZCO
80.76.52.0/22        # Azadeh Golestan Parast trading as Virtual Dedicated Datacenter Services FZCO
83.150.220.0/22      # Azadeh Golestan Parast trading as Virtual Dedicated Datacenter Services FZCO
94.154.140.0/22      # Azadeh Golestan Parast trading as Virtual Dedicated Datacenter Services FZCO
171.22.32.0/22       # Azadeh Golestan Parast trading as Virtual Dedicated Datacenter Services FZCO
185.201.128.0/22     # Azadeh Golestan Parast trading as Virtual Dedicated Datacenter Services FZCO
213.184.92.0/22      # Azadeh Golestan Parast trading as Virtual Dedicated Datacenter Services FZCO

# --- ISP: Babak Pazooki | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
23.234.108.0/24      # Babak Pazooki

# --- ISP: BACK WAVES LIMITED | prefixes: 1 | IPv4 addrs: 2,048 | IPv6 addrs: 0 ---
38.2.136.0/21        # BACK WAVES LIMITED

# --- ISP: BAHIA VISTA SOLUTIONS LLC | prefixes: 2 | IPv4 addrs: 2,048 | IPv6 addrs: 0 ---
45.156.76.0/22       # BAHIA VISTA SOLUTIONS LLC
109.70.64.0/22       # BAHIA VISTA SOLUTIONS LLC

# --- ISP: Bedrock Networks LLC | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
95.175.64.0/22       # Bedrock Networks LLC

# --- ISP: Beijing Blue I.T Technologies Co.,Ltd. | prefixes: 5 | IPv4 addrs: 106,496 | IPv6 addrs: 0 ---
58.68.128.0/18       # Beijing Blue I.T Technologies Co.,Ltd.
106.48.0.0/19        # Beijing Blue I.T Technologies Co.,Ltd.
106.48.128.0/17      # Beijing Blue I.T Technologies Co.,Ltd.
106.49.0.0/18        # Beijing Blue I.T Technologies Co.,Ltd.
106.49.128.0/17      # Beijing Blue I.T Technologies Co.,Ltd.

# --- ISP: Berlin | prefixes: 1 | IPv4 addrs: 512 | IPv6 addrs: 0 ---
109.238.198.0/23     # Berlin

# --- ISP: Beyond Tomorrow Ltd | prefixes: 12 | IPv4 addrs: 8,960 | IPv6 addrs: 0 ---
45.133.112.0/22      # Beyond Tomorrow Ltd
45.136.24.0/22       # Beyond Tomorrow Ltd
45.147.8.0/22        # Beyond Tomorrow Ltd
45.147.232.0/22      # Beyond Tomorrow Ltd
45.154.120.0/22      # Beyond Tomorrow Ltd
176.126.111.0/24     # Beyond Tomorrow Ltd
193.9.56.0/22        # Beyond Tomorrow Ltd
193.142.36.0/22      # Beyond Tomorrow Ltd
193.202.16.0/24      # Beyond Tomorrow Ltd
194.110.150.0/24     # Beyond Tomorrow Ltd
194.180.232.0/23     # Beyond Tomorrow Ltd
194.180.236.0/23     # Beyond Tomorrow Ltd

# --- ISP: bian, qiang | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
23.234.71.0/24       # bian, qiang

# --- ISP: BINARY NETWORKS SOLUTIONS LLC | prefixes: 1 | IPv4 addrs: 512 | IPv6 addrs: 0 ---
156.239.244.0/23     # BINARY NETWORKS SOLUTIONS LLC

# --- ISP: Borough of Kutztown | prefixes: 1 | IPv4 addrs: 2,048 | IPv6 addrs: 0 ---
38.66.88.0/21        # Borough of Kutztown

# --- ISP: Brander Group Inc | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
158.140.208.0/22     # Brander Group Inc

# --- ISP: Brander Group Inc. | prefixes: 1 | IPv4 addrs: 512 | IPv6 addrs: 0 ---
143.14.226.0/23      # Brander Group Inc.

# --- ISP: Braveway LLC | prefixes: 3 | IPv4 addrs: 2,048 | IPv6 addrs: 0 ---
139.28.138.0/23      # Braveway LLC
141.98.242.0/23      # Braveway LLC

# --- ISP: BraveWay LLC | prefixes: 2 | IPv4 addrs: 1,280 | IPv6 addrs: 0 ---
141.193.202.0/24     # BraveWay LLC
154.13.208.0/22      # BraveWay LLC

# --- ISP: Braveway LLC | prefixes: 3 | IPv4 addrs: 2,048 | IPv6 addrs: 0 ---
194.124.52.0/22      # Braveway LLC

# --- ISP: BRAVEWAY-JP | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
206.127.200.0/22     # BRAVEWAY-JP

# --- ISP: BRAVEWAY-SG | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
206.127.192.0/22     # BRAVEWAY-SG

# --- ISP: Braveway-SG | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
206.127.204.0/22     # Braveway-SG

# --- ISP: BTCVPN LLC | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
140.235.116.0/22     # BTCVPN LLC

# --- ISP: Bulk Materials Inc. | prefixes: 1 | IPv4 addrs: 2,048 | IPv6 addrs: 0 ---
204.115.128.0/21     # Bulk Materials Inc.

# --- ISP: BUTTERFLY INC | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
149.36.68.0/22       # BUTTERFLY INC

